NAME	TITLE	SCORE	
LEFTY1	LEFTY1	0.3993412	
ADGRG2	ADGRG2	0.38711682	
APOA1	APOA1	0.3789294	
WBSCR27	WBSCR27	0.37422648	
CPB1	CPB1	0.3460807	
ARG1	ARG1	0.31980392	
KIR2DL1	KIR2DL1	0.31414992	
TMEM35A	TMEM35A	0.30760658	
WARS2	WARS2	0.30260903	
LCN6	LCN6	0.2896116	
GLB1L2	GLB1L2	0.28687114	
MYLK3	MYLK3	0.27102938	
BRINP2	BRINP2	0.26491612	
NAPSB	NAPSB	0.2594812	
ARL4D	ARL4D	0.2583384	
KCNB1	KCNB1	0.25733447	
RNASE7	RNASE7	0.2571799	
KCND2	KCND2	0.2518335	
IP6K3	IP6K3	0.25117847	
ASIP	ASIP	0.2501518	
SIGLEC10	SIGLEC10	0.24852516	
SLC25A18	SLC25A18	0.2456213	
CLDN20	CLDN20	0.24230658	
TRH	TRH	0.23990163	
FAXDC2	FAXDC2	0.23987858	
JAZF1-AS1	JAZF1-AS1	0.236187	
PLCL1	PLCL1	0.23539735	
CTTNBP2	CTTNBP2	0.22990265	
SFRP2	SFRP2	0.22967307	
GPR6	GPR6	0.22944176	
THBS4	THBS4	0.2283534	
CYP3A5	CYP3A5	0.22678924	
ARRDC4	ARRDC4	0.2261522	
C3	C3	0.22488816	
SCUBE2	SCUBE2	0.2235925	
MDN1	MDN1	0.22337958	
IL19	IL19	0.22230315	
ALDH1L1	ALDH1L1	0.22034054	
TTR	TTR	0.217118	
APOC3	APOC3	0.2161579	
TRUB1	TRUB1	0.21366419	
LOC374443	LOC374443	0.21308373	
GJB2	GJB2	0.21142335	
TPSAB1	TPSAB1	0.2112982	
GSTA1	GSTA1	0.21107723	
COL14A1	COL14A1	0.21096767	
FAM86B1	FAM86B1	0.21070026	
MAP1LC3C	MAP1LC3C	0.20986554	
AADACL2	AADACL2	0.2095657	
PRODH	PRODH	0.20748574	
FAM19A4	FAM19A4	0.20677805	
CST1	CST1	0.20545971	
GALNT13	GALNT13	0.20356463	
SORCS1	SORCS1	0.20326062	
C20orf141	C20orf141	0.20276186	
FNDC4	FNDC4	0.20209128	
NPAS1	NPAS1	0.20089547	
CCDC170	CCDC170	0.20060904	
RGS22	RGS22	0.19982387	
CXCL13	CXCL13	0.19860941	
JCHAIN	JCHAIN	0.19401051	
LOC400661	LOC400661	0.19329095	
NXPE3	NXPE3	0.19328864	
CPA3	CPA3	0.19312632	
CDC42EP3	CDC42EP3	0.1912604	
TAS2R1	TAS2R1	0.19061609	
TMEM27	TMEM27	0.19053555	
MAP1B	MAP1B	0.1890132	
FAM150B	FAM150B	0.18823577	
SCRG1	SCRG1	0.18649118	
UNC79	UNC79	0.18621428	
PDK4	PDK4	0.1860982	
THEM4	THEM4	0.18601158	
FKBP5	FKBP5	0.1855934	
KCNA4	KCNA4	0.18513471	
SLC35D1	SLC35D1	0.18462794	
ACE	ACE	0.18433122	
NPTX2	NPTX2	0.18387179	
ZFHX2	ZFHX2	0.1838494	
IGSF10	IGSF10	0.18378061	
AADACL4	AADACL4	0.18244961	
PCBP3	PCBP3	0.18213718	
GSTT2	GSTT2	0.18145034	
GRIA3	GRIA3	0.17885236	
LGALS9B	LGALS9B	0.17821003	
ST6GALNAC3	ST6GALNAC3	0.17773166	
ADGRG7	ADGRG7	0.17745933	
FAM180B	FAM180B	0.17737241	
KLHL13	KLHL13	0.17656039	
C22orf31	C22orf31	0.17653652	
ISLR	ISLR	0.17643581	
STON1-GTF2A1L	STON1-GTF2A1L	0.17637536	
MEGF10	MEGF10	0.17554156	
MCC	MCC	0.17458092	
CYP4F22	CYP4F22	0.1744651	
WISP3	WISP3	0.17439027	
IL1B	IL1B	0.17391661	
GPR176	GPR176	0.17321484	
CHRDL1	CHRDL1	0.17309234	
IKZF4	IKZF4	0.17281185	
MAPK14	MAPK14	0.17203496	
B3GNT8	B3GNT8	0.17189588	
CHODL	CHODL	0.1699403	
KERA	KERA	0.16886622	
HOMER2	HOMER2	0.16879039	
CLDN10	CLDN10	0.1682997	
PDE8B	PDE8B	0.16760598	
CXADR	CXADR	0.16696215	
SHH	SHH	0.16639835	
LOC100507073	LOC100507073	0.16539639	
SEMA6C	SEMA6C	0.16532677	
OXT	OXT	0.16525316	
HOXA10	HOXA10	0.16441928	
FGB	FGB	0.16432789	
TIMP4	TIMP4	0.16398567	
ABCC8	ABCC8	0.16398062	
DIRC3	DIRC3	0.16366632	
MFSD2B	MFSD2B	0.16366479	
FAM107A	FAM107A	0.16364665	
P2RY14	P2RY14	0.16339083	
STON1	STON1	0.16250344	
IL1A	IL1A	0.1624191	
DAGLA	DAGLA	0.1623376	
TOM1L1	TOM1L1	0.16192715	
FRMD3	FRMD3	0.1616704	
SNAP91	SNAP91	0.16161887	
MPL	MPL	0.16149299	
FAM169B	FAM169B	0.16065046	
DIRAS2	DIRAS2	0.16038318	
KLHL21	KLHL21	0.15975283	
TGM1	TGM1	0.15954155	
TBATA	TBATA	0.15864617	
CELF2	CELF2	0.15856294	
C1QL1	C1QL1	0.15736908	
SYT9	SYT9	0.15706699	
SGPP1	SGPP1	0.15680662	
NAPSA	NAPSA	0.15647347	
DBP	DBP	0.15619244	
PTPN13	PTPN13	0.155838	
IL1R2	IL1R2	0.15572342	
C3orf36	C3orf36	0.15561193	
ESYT3	ESYT3	0.15558766	
ZBTB16	ZBTB16	0.15551658	
KCNE4	KCNE4	0.15502608	
MXRA8	MXRA8	0.15475668	
EVA1C	EVA1C	0.15434551	
KIAA1210	KIAA1210	0.15423942	
PLA2R1	PLA2R1	0.15392546	
ZNF503	ZNF503	0.15352719	
NMUR2	NMUR2	0.15338887	
CLSTN2	CLSTN2	0.153234	
RAMP1	RAMP1	0.1532268	
CCDC146	CCDC146	0.15253325	
NUDT16	NUDT16	0.15251988	
GLUL	GLUL	0.15244676	
NAP1L3	NAP1L3	0.15243241	
ABCA13	ABCA13	0.15218431	
GPRC5B	GPRC5B	0.1512183	
SMIM3	SMIM3	0.15106292	
RCVRN	RCVRN	0.15097259	
FAM24B	FAM24B	0.15088153	
TRNP1	TRNP1	0.15066849	
CEP89	CEP89	0.14918683	
C10orf107	C10orf107	0.14898105	
NME5	NME5	0.14871816	
CACNA1G-AS1	CACNA1G-AS1	0.14865853	
LINC01616	LINC01616	0.14826477	
GNG4	GNG4	0.14820461	
HSPBP1	HSPBP1	0.14781018	
LTBP1	LTBP1	0.14709646	
ZNF425	ZNF425	0.14665966	
CRYBB2	CRYBB2	0.14654814	
OMD	OMD	0.14610675	
RCBTB1	RCBTB1	0.14568166	
PHEX	PHEX	0.14559685	
TMEM150C	TMEM150C	0.14543241	
ENTPD3	ENTPD3	0.14514023	
FST	FST	0.14362717	
CCDC103	CCDC103	0.14345728	
ESR1	ESR1	0.14305517	
ATAD2	ATAD2	0.14280698	
LGALS9	LGALS9	0.14274581	
ST6GALNAC2	ST6GALNAC2	0.14256041	
LINC01563	LINC01563	0.1423344	
COL24A1	COL24A1	0.14208138	
ATP8A2	ATP8A2	0.14195159	
CCDC89	CCDC89	0.14119743	
LEFTY2	LEFTY2	0.14104016	
PGR	PGR	0.1409143	
TSPAN7	TSPAN7	0.1407464	
ENPP1	ENPP1	0.14069752	
CDKL1	CDKL1	0.13992205	
MFF	MFF	0.13980542	
RAI2	RAI2	0.13957942	
C11orf70	C11orf70	0.1393788	
MAMDC2	MAMDC2	0.13930099	
KIAA1644	KIAA1644	0.13907756	
ZNF441	ZNF441	0.13812648	
ABHD5	ABHD5	0.13784274	
CYP1B1	CYP1B1	0.13759468	
ACACB	ACACB	0.13739705	
SFMBT2	SFMBT2	0.13738503	
C4orf33	C4orf33	0.1371011	
CAMP	CAMP	0.1369005	
FBXO10	FBXO10	0.13649543	
HLA-DRB6	HLA-DRB6	0.13620114	
FAM46B	FAM46B	0.135942	
HLA-C	HLA-C	0.13558485	
CTXN1	CTXN1	0.13544893	
WBSCR17	WBSCR17	0.13520105	
PCGF5	PCGF5	0.13506465	
CRYGN	CRYGN	0.1343082	
MMP8	MMP8	0.13365708	
UBD	UBD	0.13345066	
TRPC4	TRPC4	0.1332604	
PTCHD3	PTCHD3	0.13293537	
TMEM252	TMEM252	0.13278717	
SLC1A1	SLC1A1	0.1327817	
FXYD1	FXYD1	0.13250661	
RPH3AL	RPH3AL	0.1323438	
B9D1	B9D1	0.13232931	
OTC	OTC	0.13229938	
MED25	MED25	0.13221498	
ACE2	ACE2	0.13201386	
OSR2	OSR2	0.13178344	
TSPAN5	TSPAN5	0.13167903	
THAP4	THAP4	0.13147442	
SULT1B1	SULT1B1	0.13118784	
CBLN1	CBLN1	0.13059652	
HOXA11	HOXA11	0.13024303	
TMEM37	TMEM37	0.13020885	
CACNB2	CACNB2	0.13017829	
TMTC1	TMTC1	0.12990259	
GNA14	GNA14	0.1294938	
MYH4	MYH4	0.12931085	
OBSL1	OBSL1	0.12855637	
DLEC1	DLEC1	0.12828791	
PBX4	PBX4	0.12802945	
ZBED3	ZBED3	0.12792318	
PAPLN	PAPLN	0.12779175	
RBKS	RBKS	0.12746854	
ADRA1B	ADRA1B	0.12737012	
ATL1	ATL1	0.12728687	
CECR1	CECR1	0.1270891	
UCP2	UCP2	0.1270206	
MOV10L1	MOV10L1	0.1270086	
ITGA10	ITGA10	0.12696086	
CES1P1	CES1P1	0.12661056	
FKBP1B	FKBP1B	0.12643544	
IPO8	IPO8	0.12568961	
AIFM2	AIFM2	0.12564376	
ZEB1	ZEB1	0.12556154	
CSDC2	CSDC2	0.12540144	
TMEM56	TMEM56	0.12538554	
STRBP	STRBP	0.12523435	
ANOS1	ANOS1	0.12522365	
ABCE1	ABCE1	0.12522204	
CPT1A	CPT1A	0.12516537	
CPXM1	CPXM1	0.12472547	
AQP8	AQP8	0.12451735	
WT1	WT1	0.12440554	
CACNA1G	CACNA1G	0.12434118	
STAR	STAR	0.124246806	
RGS5	RGS5	0.124174945	
SCAMP1	SCAMP1	0.123874344	
MEIS1	MEIS1	0.12383423	
REV3L	REV3L	0.123658046	
CYP3A43	CYP3A43	0.1236289	
AQP10	AQP10	0.12357611	
ST6GALNAC4	ST6GALNAC4	0.123446405	
ABTB2	ABTB2	0.12339443	
EMID1	EMID1	0.123194665	
ENTPD5	ENTPD5	0.12319292	
PILRA	PILRA	0.12310671	
LOC100287837///ARHGEF17	LOC100287837///ARHGEF17	0.12291567	
MRFAP1L1	MRFAP1L1	0.1227231	
KLC3	KLC3	0.12268299	
BHLHE22	BHLHE22	0.1225006	
SCGN	SCGN	0.12248578	
SNAI2	SNAI2	0.12174884	
LOC100506530	LOC100506530	0.12165419	
GSN	GSN	0.12149581	
CCL23	CCL23	0.12144838	
SERPING1	SERPING1	0.12133124	
PLCD1	PLCD1	0.12131983	
CENPV	CENPV	0.12111381	
WNT3	WNT3	0.12098388	
OLFML3	OLFML3	0.120559745	
PPDPF	PPDPF	0.12048264	
SLX4IP	SLX4IP	0.120224744	
ROR2	ROR2	0.12017084	
SLC26A8	SLC26A8	0.1199128	
SNX21	SNX21	0.11986586	
OLFM4	OLFM4	0.11976305	
ADORA3	ADORA3	0.119746685	
KIR2DS5	KIR2DS5	0.11972376	
S100A3	S100A3	0.11965943	
PLA2G7	PLA2G7	0.11953155	
PROCR	PROCR	0.11944739	
ALDH3B1	ALDH3B1	0.11937277	
VWC2	VWC2	0.119325034	
APITD1	APITD1	0.11917107	
STC1	STC1	0.11896075	
ABCA6	ABCA6	0.118651114	
NMT1	NMT1	0.11841072	
CCDC68	CCDC68	0.11819188	
INPP4B	INPP4B	0.1181507	
STARD5	STARD5	0.11791895	
WDR81	WDR81	0.11777354	
PVALB	PVALB	0.11762515	
SLC25A30	SLC25A30	0.11759548	
CDH16	CDH16	0.11749501	
TCF7L2	TCF7L2	0.11746596	
PCOLCE	PCOLCE	0.117403634	
CYP2C9	CYP2C9	0.11730456	
ACCS	ACCS	0.11727319	
TPGS2	TPGS2	0.11715281	
SLC16A9	SLC16A9	0.11695711	
ZP4	ZP4	0.11685302	
LDLRAD3	LDLRAD3	0.116767995	
SLC45A3	SLC45A3	0.11669524	
FAM43B	FAM43B	0.11663195	
LRP1B	LRP1B	0.1165265	
ASNS	ASNS	0.116387784	
AOX1	AOX1	0.11597921	
SLC37A3	SLC37A3	0.1159247	
LRRN4CL	LRRN4CL	0.115810245	
IL13RA2	IL13RA2	0.11577755	
ADAMTS8	ADAMTS8	0.1157692	
CORO2A	CORO2A	0.11571786	
SIMC1	SIMC1	0.115051076	
PBK	PBK	0.114918396	
ASTN1	ASTN1	0.114908054	
TNNC2	TNNC2	0.11490686	
KITLG	KITLG	0.114796646	
SAMHD1	SAMHD1	0.11477127	
PHKA1	PHKA1	0.11449903	
CCZ1B	CCZ1B	0.114450246	
P2RY12	P2RY12	0.11444739	
ITPKA	ITPKA	0.11428764	
ADGRD1	ADGRD1	0.1141793	
TTC8	TTC8	0.114058964	
PARM1	PARM1	0.11403555	
MOSPD3	MOSPD3	0.11402342	
BHMT2	BHMT2	0.113913506	
MAP1A	MAP1A	0.11370465	
PRR34	PRR34	0.11367778	
MAPK10	MAPK10	0.11366862	
FAS	FAS	0.113325834	
BAIAP2L2	BAIAP2L2	0.1132862	
SIGLEC9	SIGLEC9	0.11313802	
NOV	NOV	0.11303231	
TMEM132C	TMEM132C	0.11299398	
CCDC69	CCDC69	0.112950414	
FAM133A	FAM133A	0.112941496	
CARMIL1	CARMIL1	0.112802126	
CERK	CERK	0.11234026	
BDKRB1	BDKRB1	0.11219645	
CORO2B	CORO2B	0.111895286	
C1QTNF4	C1QTNF4	0.11184862	
PRKCA	PRKCA	0.11184238	
LDOC1	LDOC1	0.11150124	
OXCT1	OXCT1	0.11143456	
SMYD4	SMYD4	0.11139859	
LINGO2	LINGO2	0.11129891	
CACNA2D4	CACNA2D4	0.11121415	
VTN	VTN	0.11110329	
CNTN4	CNTN4	0.111084975	
MYL9	MYL9	0.11103489	
NKD1	NKD1	0.11098961	
LGALS9C	LGALS9C	0.110894784	
ITPR1	ITPR1	0.11080219	
NRIP3	NRIP3	0.11034014	
PNPLA4	PNPLA4	0.10996839	
FGG	FGG	0.109956	
TTC30A	TTC30A	0.109590925	
WHRN	WHRN	0.109480634	
DDIT4	DDIT4	0.10938909	
CASQ1	CASQ1	0.10921969	
OAF	OAF	0.10902854	
SPOCK2	SPOCK2	0.10897694	
CASC4	CASC4	0.10896006	
ELOVL6	ELOVL6	0.10881412	
BMP4	BMP4	0.10878963	
TTC39C	TTC39C	0.10872618	
RPL23AP7	RPL23AP7	0.10865345	
GPT	GPT	0.10852394	
PLCE1	PLCE1	0.10847434	
SOAT1	SOAT1	0.10803837	
C1S	C1S	0.10748634	
TRIM61	TRIM61	0.107356	
HSPB6	HSPB6	0.107292145	
SGCA	SGCA	0.10709556	
KANK2	KANK2	0.10693158	
LGR4	LGR4	0.10692638	
TRPS1	TRPS1	0.10688811	
ZFPM2	ZFPM2	0.10677904	
GARNL3	GARNL3	0.1067515	
ATP2B3	ATP2B3	0.10635823	
MEDAG	MEDAG	0.10634353	
MRPL43	MRPL43	0.1063179	
CCT6B	CCT6B	0.10628434	
ENPP4	ENPP4	0.10617733	
MIR99AHG	MIR99AHG	0.106146805	
MTR	MTR	0.10608819	
GPR161	GPR161	0.10588916	
RAB40A	RAB40A	0.10577344	
BOC	BOC	0.10573078	
FAM170B	FAM170B	0.105567224	
TEF	TEF	0.10534196	
IFNL3	IFNL3	0.10518316	
MDK	MDK	0.10482405	
C1orf56	C1orf56	0.10458584	
FLYWCH2	FLYWCH2	0.104566745	
SLC7A3	SLC7A3	0.104532205	
STK16	STK16	0.10453188	
RND2	RND2	0.10452846	
KIR3DL1	KIR3DL1	0.10446557	
JPH1	JPH1	0.104396574	
ACTL7B	ACTL7B	0.104313985	
DTNA	DTNA	0.10427445	
PC	PC	0.10408727	
LRRC8A	LRRC8A	0.104025654	
IL36G	IL36G	0.1039871	
COLEC11	COLEC11	0.10393913	
TBC1D16	TBC1D16	0.103896484	
P4HA3	P4HA3	0.10383254	
TMIE	TMIE	0.10368714	
HSD17B14	HSD17B14	0.1036414	
CAB39L	CAB39L	0.10337502	
MOB1A	MOB1A	0.10329795	
SLC2A12	SLC2A12	0.1032975	
SLC25A42	SLC25A42	0.1030874	
THAP6	THAP6	0.102967925	
RGN	RGN	0.10286904	
