NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RYR3	RYR3	10	0.4233059287071228	0.037052967	Yes	
row_1	PDLIM3	PDLIM3	31	0.3546312153339386	0.06749195	Yes	
row_2	NEXN	NEXN	44	0.34065717458724976	0.0971055	Yes	
row_3	DES	DES	51	0.3350934088230133	0.12653638	Yes	
row_4	FHL5	FHL5	53	0.33308374881744385	0.1560482	Yes	
row_5	FHOD3	FHOD3	71	0.3140532374382019	0.18304116	Yes	
row_6	CASQ2	CASQ2	93	0.29331734776496887	0.20798622	Yes	
row_7	CASQ1	CASQ1	132	0.26306772232055664	0.2293648	Yes	
row_8	KRT8	KRT8	142	0.25502410531044006	0.25153336	Yes	
row_9	FLNC	FLNC	144	0.2524026930332184	0.27388412	Yes	
row_10	PGM5	PGM5	156	0.24670182168483734	0.2952103	Yes	
row_11	SYNPO2	SYNPO2	172	0.2400248646736145	0.3157364	Yes	
row_12	ITGB1BP2	ITGB1BP2	214	0.21991975605487823	0.3331297	Yes	
row_13	PALLD	PALLD	228	0.21552219986915588	0.35158473	Yes	
row_14	FBXL22	FBXL22	233	0.2132682502269745	0.37030643	Yes	
row_15	PDLIM5	PDLIM5	239	0.2106301337480545	0.38874215	Yes	
row_16	KCNN2	KCNN2	310	0.18847684562206268	0.40184072	Yes	
row_17	PPP1R12B	PPP1R12B	356	0.17824605107307434	0.41532773	Yes	
row_18	SLMAP	SLMAP	360	0.1772453337907791	0.430904	Yes	
row_19	PDLIM4	PDLIM4	386	0.172476664185524	0.4449161	Yes	
row_20	DNAJB4	DNAJB4	387	0.1722552478313446	0.46020505	Yes	
row_21	FHL3	FHL3	426	0.1653575301170349	0.47291112	Yes	
row_22	KRT19	KRT19	428	0.1645289659500122	0.48746243	Yes	
row_23	CSRP2	CSRP2	455	0.16089296340942383	0.5003945	Yes	
row_24	SCN3B	SCN3B	495	0.15241217613220215	0.51189977	Yes	
row_25	JPH1	JPH1	502	0.15110236406326294	0.52500004	Yes	
row_26	CSRP1	CSRP1	539	0.14639659225940704	0.5361269	Yes	
row_27	MYH7	MYH7	553	0.14356309175491333	0.54819506	Yes	
row_28	MYL9	MYL9	578	0.14119356870651245	0.5594824	Yes	
row_29	FLNB	FLNB	598	0.13949410617351532	0.5708782	Yes	
row_30	JPH2	JPH2	636	0.13432542979717255	0.58088183	Yes	
row_31	CACNA1C	CACNA1C	724	0.12703557312488556	0.5876454	Yes	
row_32	CFL2	CFL2	781	0.12232885509729385	0.59559894	Yes	
row_33	SYNC	SYNC	868	0.11364062130451202	0.6012255	Yes	
row_34	ACTN1	ACTN1	869	0.11363060772418976	0.611311	Yes	
row_35	PARVA	PARVA	916	0.11064413189888	0.618746	Yes	
row_36	ANK2	ANK2	944	0.10842786729335785	0.6269696	Yes	
row_37	PDLIM7	PDLIM7	947	0.1081918254494667	0.6364687	Yes	
row_38	PRKD1	PRKD1	1125	0.09614001214504242	0.6358228	Yes	
row_39	SORBS2	SORBS2	1156	0.09425704181194305	0.642633	Yes	
row_40	MYOT	MYOT	1165	0.09384558349847794	0.6505476	Yes	
row_41	SYNPO2L	SYNPO2L	1171	0.09364419430494308	0.6586	Yes	
row_42	FLNA	FLNA	1261	0.08888237178325653	0.66187346	Yes	
row_43	HOMER1	HOMER1	1387	0.08307177573442459	0.6627643	Yes	
row_44	MYOZ1	MYOZ1	1436	0.08138791471719742	0.6674989	Yes	
row_45	FHL2	FHL2	1438	0.0813017413020134	0.6746631	Yes	
row_46	PPP1R12A	PPP1R12A	1652	0.07248147577047348	0.67005044	Yes	
row_47	ACTN4	ACTN4	1749	0.06908950209617615	0.67120415	Yes	
row_48	TRIM63	TRIM63	1796	0.06769241392612457	0.67482686	Yes	
row_49	PPP3CA	PPP3CA	1982	0.062216613441705704	0.6707551	Yes	
row_50	SYNE2	SYNE2	2021	0.061230532824993134	0.6742191	Yes	
row_51	ACTC1	ACTC1	2157	0.057918649166822433	0.6723588	Yes	
row_52	TCAP	TCAP	2345	0.053525228053331375	0.6674119	Yes	
row_53	MYZAP	MYZAP	2506	0.049789201468229294	0.6635336	Yes	
row_54	ACTN3	ACTN3	2509	0.049723926931619644	0.6678433	Yes	
row_55	KCNE1	KCNE1	2533	0.04921208694577217	0.6710185	Yes	
row_56	BAG3	BAG3	2544	0.04903498291969299	0.6748521	Yes	
row_57	ANKRD1	ANKRD1	2571	0.0486653633415699	0.6778232	Yes	
row_58	FBXO32	FBXO32	3069	0.04004606232047081	0.6556035	No	
row_59	ANKRD23	ANKRD23	3524	0.034468989819288254	0.6351189	No	
row_60	PPP3CB	PPP3CB	3555	0.034061312675476074	0.6365863	No	
row_61	DMD	DMD	3641	0.033047378063201904	0.63511145	No	
row_62	TRIM54	TRIM54	4324	0.025841383263468742	0.60203713	No	
row_63	MYOZ3	MYOZ3	4476	0.024272901937365532	0.5963608	No	
row_64	DNAJB6	DNAJB6	4837	0.021000266075134277	0.57955545	No	
row_65	HRC	HRC	4878	0.020699022337794304	0.5793183	No	
row_66	PDLIM1	PDLIM1	4886	0.020633438602089882	0.58078665	No	
row_67	CRYAB	CRYAB	5081	0.019154025241732597	0.572426	No	
row_68	RYR2	RYR2	5504	0.016237536445260048	0.55198264	No	
row_69	MYOZ2	MYOZ2	5747	0.014750488102436066	0.540742	No	
row_70	KLHL40	KLHL40	5813	0.014396042563021183	0.5386489	No	
row_71	GLRX3	GLRX3	5935	0.013590535148978233	0.5335802	No	
row_72	SMN1	SMN1	5987	0.013242815621197224	0.53211075	No	
row_73	POLR2M	POLR2M	6121	0.01246945746243	0.5263203	No	
row_74	LDB3	LDB3	6338	0.011370593681931496	0.5161279	No	
row_75	MYL12B	MYL12B	6425	0.010947785340249538	0.5126397	No	
row_76	AKAP4	AKAP4	6529	0.010346947237849236	0.50821656	No	
row_77	RYR1	RYR1	6534	0.01032036542892456	0.50892514	No	
row_78	NRAP	NRAP	6647	0.00982649251818657	0.5039891	No	
row_79	HSPB1	HSPB1	6912	0.008618943393230438	0.4910633	No	
row_80	SCN8A	SCN8A	7096	0.007789162918925285	0.4822644	No	
row_81	FRG1	FRG1	7499	0.00606655003502965	0.4619555	No	
row_82	ATP2B4	ATP2B4	7517	0.006011647637933493	0.46160746	No	
row_83	XIRP2	XIRP2	7796	0.004980308469384909	0.44763264	No	
row_84	DST	DST	7821	0.004876961000263691	0.44682088	No	
row_85	TTN	TTN	7924	0.004543424118310213	0.44193453	No	
row_86	ALDOA	ALDOA	7932	0.004505094140768051	0.44197136	No	
row_87	ASB2	ASB2	7955	0.004398835822939873	0.4412209	No	
row_88	FBXO22	FBXO22	8103	0.0038358564488589764	0.43393806	No	
row_89	CTNNB1	CTNNB1	8395	0.0027986725326627493	0.41909546	No	
row_90	CSRP3	CSRP3	8689	0.0016431169351562858	0.40404657	No	
row_91	MYO18B	MYO18B	8944	7.695810054428875E-4	0.39094263	No	
row_92	SRI	SRI	9358	-5.376631743274629E-4	0.36957255	No	
row_93	PPP2R5A	PPP2R5A	9419	-7.537120254710317E-4	0.3665279	No	
row_94	CACNA1S	CACNA1S	9559	-0.001265273429453373	0.35943177	No	
row_95	SLC8A1	SLC8A1	10219	-0.003603039076551795	0.3255764	No	
row_96	PLEC	PLEC	10418	-0.004344350192695856	0.31569386	No	
row_97	SCN5A	SCN5A	10464	-0.004506268538534641	0.31376016	No	
row_98	SYNPO	SYNPO	10623	-0.005103361792862415	0.3060194	No	
row_99	CAV3	CAV3	11042	-0.00660204840824008	0.28492823	No	
row_100	UNC45B	UNC45B	11237	-0.007366592530161142	0.2755214	No	
row_101	PDLIM2	PDLIM2	11330	-0.0077263847924768925	0.27143613	No	
row_102	FBP2	FBP2	11352	-0.007850032299757004	0.27104384	No	
row_103	CAB39	CAB39	11415	-0.008114049211144447	0.26854876	No	
row_104	ANKRD2	ANKRD2	11683	-0.009147437289357185	0.25551426	No	
row_105	BIN1	BIN1	11687	-0.009154856204986572	0.25617126	No	
row_106	BMP10	BMP10	12350	-0.012136206030845642	0.22291768	No	
row_107	CACNA1D	CACNA1D	12712	-0.01407440472394228	0.20544572	No	
row_108	SCN1A	SCN1A	12940	-0.015371968038380146	0.19503808	No	
row_109	FERMT2	FERMT2	13478	-0.01859768107533455	0.1688404	No	
row_110	KAT2B	KAT2B	13642	-0.019802017137408257	0.16214493	No	
row_111	REM1	REM1	13803	-0.020757434889674187	0.15568985	No	
row_112	JUP	JUP	14116	-0.022858113050460815	0.14153862	No	
row_113	SMN2	SMN2	14340	-0.024628829210996628	0.13216002	No	
row_114	MTM1	MTM1	14454	-0.025571314617991447	0.12856957	No	
row_115	MYL3	MYL3	14487	-0.025824720039963722	0.12920222	No	
row_116	STK11	STK11	14522	-0.026036977767944336	0.12974998	No	
row_117	NEB	NEB	14699	-0.027583548799157143	0.12307102	No	
row_118	OBSL1	OBSL1	15050	-0.030857421457767487	0.107659146	No	
row_119	PRICKLE4	PRICKLE4	15324	-0.03347531706094742	0.09647278	No	
row_120	KCNA5	KCNA5	15457	-0.03484557196497917	0.09272018	No	
row_121	FKBP1B	FKBP1B	15663	-0.03686808794736862	0.08536137	No	
row_122	PARVB	PARVB	15878	-0.03917897865176201	0.07774094	No	
row_123	STUB1	STUB1	15882	-0.039275579154491425	0.08107136	No	
row_124	PAK1	PAK1	16070	-0.0416494682431221	0.0750704	No	
row_125	RTN2	RTN2	16071	-0.04165550321340561	0.078767635	No	
row_126	CAPN3	CAPN3	16308	-0.04496780037879944	0.0705201	No	
row_127	MYH6	MYH6	16641	-0.049642883241176605	0.057709042	No	
row_128	NEBL	NEBL	16777	-0.05181313678622246	0.05530686	No	
row_129	MYPN	MYPN	16846	-0.05296313017606735	0.05648131	No	
row_130	PDE4B	PDE4B	16886	-0.05354288965463638	0.059211135	No	
row_131	SLC2A1	SLC2A1	16973	-0.05529000610113144	0.059658647	No	
row_132	NOS1AP	NOS1AP	17198	-0.05926016718149185	0.05330198	No	
row_133	ANK1	ANK1	17582	-0.06650186330080032	0.03934246	No	
row_134	OBSCN	OBSCN	17647	-0.06803438812494278	0.042062033	No	
row_135	KY	KY	17660	-0.06818287074565887	0.04749146	No	
row_136	FKBP1A	FKBP1A	17697	-0.0693407654762268	0.051779043	No	
row_137	ACTN2	ACTN2	17849	-0.07342014461755753	0.0504649	No	
row_138	ANK3	ANK3	18755	-0.11390070617198944	0.013641902	No	
row_139	SLC4A1	SLC4A1	19389	-0.23543120920658112	0.0017113358	No	
